"publication_id","ai_subfield"
"W2939020224","General AI"
"W3197013386","General AI"
"W4309637232","explainable ai"
"W3024894285","General AI"
"W4312325284","General AI"
"W2908735595","General AI"
"W2923370583","General AI"
"W4210538803","General AI"
"W3208881055","graph neural networks"
"W3014924729","General AI"
"W3005147719","General AI"
"W3084741591","computer vision"
"W3195848388","General AI"
"W2921019731","General AI"
"W3183119561","General AI"
"W3027764902","General AI"
"W2989293933","General AI"
"W4380739447","generative ai"
"W4380739447","graph neural networks"
"W3118571930","computer vision"
"W4400135851","explainable ai"
"W2965660219","General AI"
"W3016716625","General AI"
"W3175039957","graph neural networks"
"W2982482221","General AI"
"W4323313312","computer vision"
"W3043238520","General AI"
"W4297347671","generative ai"
"W3130265534","General AI"
"W3011845528","General AI"
"W4381542525","graph neural networks"
"W3008533347","General AI"
"W3176189116","computer vision"
"W3176189116","graph neural networks"
"W4288391568","General AI"
"W2996550193","General AI"
"W2921533983","General AI"
"W3084798277","computer vision"
"W3104674222","General AI"
"W2919338369","General AI"
"W2904694042","General AI"
"W3034943799","graph neural networks"
"W2965127303","computer vision"
"W4286587182","General AI"
"W3014834477","General AI"
"W4287670594","graph neural networks"
"W2999399991","General AI"
"W3189795580","generative ai"
"W3189795580","graph neural networks"
"W2973268792","General AI"
"W3043790937","graph neural networks"
"W3210856765","graph neural networks"
"W4365144700","graph neural networks"
"W4365144700","transformer architecture"
"W4366086722","General AI"
"W3121633856","General AI"
"W2913446864","General AI"
"W3206568895","graph neural networks"
"W3211740276","General AI"
"W4386587871","graph neural networks"
"W3128290931","General AI"
"W2915232829","computer vision"
"W4292084264","federated learning"
"W3086290195","General AI"
"W3025637241","General AI"
"W2963813662","General AI"
"W4225332951","General AI"
"W2964005248","General AI"
"W2982127434","computer vision"
"W4221140049","graph neural networks"
"W4220672374","General AI"
"W4200624794","General AI"
"W3087969957","General AI"
"W2964266063","computer vision"
"W4243046127","General AI"
"W2984353870","General AI"
"W3126284633","computer vision"
"W2907891676","General AI"
"W3007703012","General AI"
"W3093186795","General AI"
"W2582996697","computer vision"
"W4377968189","generative ai"
"W4377968189","graph neural networks"
"W2993464084","General AI"
"W2927613875","General AI"
"W3009692632","General AI"
"W2943626891","General AI"
"W3195639294","graph neural networks"
"W4380730209","natural language processing"
"W4380730209","transformer architecture"
"W3207981989","explainable ai"
"W3207981989","graph neural networks"
"W3010442991","computer vision"
"W3185256938","General AI"
"W3125584267","General AI"
"W184758014","General AI"
"W4313527987","General AI"
"W4226141415","graph neural networks"
"W3196410189","computer vision"
"W3196410189","graph neural networks"
"W4365504037","General AI"
"W2937037822","General AI"
"W3023402959","General AI"
"W3082757774","General AI"
"W2941382599","General AI"
"W2981983525","computer vision"
"W3021503072","General AI"
"W2953359159","graph neural networks"
"W3015581086","computer vision"
"W3015581086","generative ai"
"W2998535576","General AI"
"W2970413753","natural language processing"
"W3111126165","General AI"
"W2972588473","General AI"
"W3160455160","General AI"
"W2998045710","federated learning"
"W4285730848","graph neural networks"
"W3048079539","generative ai"
"W2974084046","General AI"
"W2976581604","computer vision"
"W4206138072","graph neural networks"
"W4226313662","General AI"
"W4226135409","graph neural networks"
"W3213938648","graph neural networks"
"W3213938648","natural language processing"
"W2989857225","General AI"
"W4360995249","General AI"
"W2985894198","generative ai"
"W3152626252","graph neural networks"
"W3043159233","General AI"
"W4313378981","graph neural networks"
"W3011570378","natural language processing"
"W3174908416","graph neural networks"
"W2980444207","General AI"
"W4290877635","graph neural networks"
"W2963123914","General AI"
"W4223891748","General AI"
"W3034944009","General AI"
"W4229369233","General AI"
"W3036646401","graph neural networks"
"W3011560410","General AI"
"W4294310652","graph neural networks"
"W3043040891","General AI"
"W3167041328","General AI"
"W3022125597","General AI"
"W4280602833","graph neural networks"
"W3138089704","graph neural networks"
"W4228997948","General AI"
"W2901995873","General AI"
"W4206338051","computer vision"
"W2952924633","General AI"
"W4403853345","computer vision"
"W4212988627","graph neural networks"
"W4281294379","General AI"
"W2942523020","explainable ai"
"W4386729081","General AI"
"W2922512717","General AI"
"W2941638142","natural language processing"
"W2944605902","General AI"
"W2963752132","General AI"
"W4318586239","General AI"
"W2944643572","General AI"
"W2948864380","General AI"
"W3152594952","General AI"
"W3014689923","General AI"
"W3048964647","graph neural networks"
"W3048964647","transformer architecture"
"W4384787880","graph neural networks"
"W4382202967","graph neural networks"
