date_key,date,year,quarter,month,month_name,week_of_year,is_conference_season
20200613,2020-06-13,2020,2,6,June,24,True
20200614,2020-06-14,2020,2,6,June,24,True
20200615,2020-06-15,2020,2,6,June,25,True
20200616,2020-06-16,2020,2,6,June,25,True
20200617,2020-06-17,2020,2,6,June,25,True
20200618,2020-06-18,2020,2,6,June,25,True
20200619,2020-06-19,2020,2,6,June,25,True
20200620,2020-06-20,2020,2,6,June,25,True
20200621,2020-06-21,2020,2,6,June,25,True
20200622,2020-06-22,2020,2,6,June,26,True
20200623,2020-06-23,2020,2,6,June,26,True
20200624,2020-06-24,2020,2,6,June,26,True
20200625,2020-06-25,2020,2,6,June,26,True
20200626,2020-06-26,2020,2,6,June,26,True
20200627,2020-06-27,2020,2,6,June,26,True
20200628,2020-06-28,2020,2,6,June,26,True
20200629,2020-06-29,2020,2,6,June,27,True
20200630,2020-06-30,2020,2,6,June,27,True
20200701,2020-07-01,2020,3,7,July,27,False
20200702,2020-07-02,2020,3,7,July,27,False
20200703,2020-07-03,2020,3,7,July,27,False
20200704,2020-07-04,2020,3,7,July,27,False
20200705,2020-07-05,2020,3,7,July,27,False
20200706,2020-07-06,2020,3,7,July,28,False
20200707,2020-07-07,2020,3,7,July,28,False
20200708,2020-07-08,2020,3,7,July,28,False
20200709,2020-07-09,2020,3,7,July,28,False
20200710,2020-07-10,2020,3,7,July,28,False
20200711,2020-07-11,2020,3,7,July,28,False
20200712,2020-07-12,2020,3,7,July,28,False
20200713,2020-07-13,2020,3,7,July,29,False
20200714,2020-07-14,2020,3,7,July,29,False
20200715,2020-07-15,2020,3,7,July,29,False
20200716,2020-07-16,2020,3,7,July,29,False
20200717,2020-07-17,2020,3,7,July,29,False
20200718,2020-07-18,2020,3,7,July,29,False
20200719,2020-07-19,2020,3,7,July,29,False
20200720,2020-07-20,2020,3,7,July,30,False
20200721,2020-07-21,2020,3,7,July,30,False
20200722,2020-07-22,2020,3,7,July,30,False
20200723,2020-07-23,2020,3,7,July,30,False
20200724,2020-07-24,2020,3,7,July,30,False
20200725,2020-07-25,2020,3,7,July,30,False
20200726,2020-07-26,2020,3,7,July,30,False
20200727,2020-07-27,2020,3,7,July,31,False
20200728,2020-07-28,2020,3,7,July,31,False
20200729,2020-07-29,2020,3,7,July,31,False
