"author_id","author_name","orcid","h_index_current","total_citations","total_papers","primary_institution_id","country","years_active","is_prolific","has_institution"
"A5064919352","Shaik Asif Hussain","0000-0001-5312-4320","8","484","50","","","25","False","False"
"A5100395392","Yiming Zhang","0009-0001-0233-3541","11","576","48","I116953780","CN","14","False","True"
"A5035022380","Syna Sreng","0000-0002-1000-6233","9","343","16","I2799299286","SG","13","False","True"
"A5017032902","Ranting Cui","0000-0002-5932-7724","6","238","37","I145897649","CN","9","False","True"
"A5089293990","Vasileios P. Rekkas","0000-0001-9171-8023","5","199","23","I21370196","GR","6","False","True"
"A5053420376","Ebru Pekel Özmen","0000-0001-7717-6790","4","93","10","","","6","False","False"
"A5078570280","Elizabeth H. Manser Payne","0000-0002-7734-2282","6","838","6","I189957204","US","8","False","True"
"A5039886187","Aditi Govindu","","2","173","3","I4210088227","IN","3","False","True"
"A5025912754","Ashfaq Ali Kashif","","2","334","2","I79571142","PK","1","False","True"
"A5032532059","Meicheng Yang","0000-0002-8093-799X","6","184","11","I4387154005","","6","False","True"
"A5077434718","Weihao Song","0000-0003-3604-3224","13","450","27","I20231570","CN","20","False","True"
"A5047790917","Robin Bell","0000-0002-7325-4277","24","2099","92","I808010","GB","76","False","True"
"A5072113617","Michail Chatzianastasis","0000-0002-9905-1646","6","112","27","I142476485","FR","6","False","True"
"A5103431978","Heather Johnston","","19","1981","47","I118347636","AU","44","False","True"
"A5050892907","Sai Munikoti","0000-0002-1205-7405","9","574","50","I142606810","US","7","False","True"
"A5101152730","Yunxiang Hu","","1","77","1","I111950717","MO","1","False","True"
"A5088570801","Yang Xiao","0000-0003-1410-0486","10","340","36","I149594827","CN","9","False","True"
"A5077907668","Saúl Cano-Ortiz","0000-0003-1383-180X","4","152","6","I13134134","ES","3","False","True"
"A5006610452","Jamiu Adetola Odugbesan","0000-0003-3301-396X","14","1222","22","","","7","False","False"
"A5040991435","Peter Parycek","0000-0003-3242-0475","20","2187","143","","","22","False","False"
"A5015271071","Zainab Alshingiti","","3","175","5","I28022161","SA","4","False","True"
